match_id,team,passes,shots,xg,pressures,fouls_committed,ball_recoveries,duels,dribbles,interceptions,clearances,tackles,possession_events,red_cards,yellow_cards,home_away,match_date,competition,season,home_team,away_team,home_score,away_score,result,starting_formation,tactical_shifts,last_formation,team_result
3857287,Uruguay,570,10,0.417294332,102,7,37,40,14,17,31,0,1884,0,1,home,2022-11-24,International - FIFA World Cup,2022,Uruguay,South Korea,0,0,draw,433,1,442.0,draw
3857288,Australia,404,9,0.3590377687,127,16,45,53,10,11,34,0,1465,0,0,away,2022-11-26,International - FIFA World Cup,2022,Tunisia,Australia,0,1,away_win,442,1,442.0,win
3857288,Tunisia,548,14,1.052170345,121,15,73,53,17,8,35,0,1895,0,3,home,2022-11-26,International - FIFA World Cup,2022,Tunisia,Australia,0,1,away_win,3421,2,4231.0,loss
3857289,Argentina,567,5,0.325204139,109,15,34,38,18,5,20,0,1910,0,1,home,2022-11-26,International - FIFA World Cup,2022,Argentina,Mexico,2,0,home_win,442,1,352.0,win
3857289,Mexico,403,4,0.2063916517,147,21,34,39,11,16,15,0,1465,0,4,away,2022-11-26,International - FIFA World Cup,2022,Argentina,Mexico,2,0,home_win,352,2,4231.0,loss
3857290,Cameroon,533,8,0.6130733495,145,10,52,33,11,15,19,0,1772,0,1,away,2022-11-24,International - FIFA World Cup,2022,Switzerland,Cameroon,1,0,home_win,433,0,,loss
3857290,Switzerland,549,7,1.426544536,143,14,33,29,2,8,28,0,1829,0,2,home,2022-11-24,International - FIFA World Cup,2022,Switzerland,Cameroon,1,0,home_win,4231,2,4231.0,win
3857291,Costa Rica,250,0,0.0,149,14,29,38,5,9,21,0,975,0,2,away,2022-11-23,International - FIFA World Cup,2022,Spain,Costa Rica,7,0,home_win,442,4,343.0,loss
3857291,Spain,1090,17,2.761923473,80,8,45,29,20,7,5,0,3378,0,0,home,2022-11-23,International - FIFA World Cup,2022,Spain,Costa Rica,7,0,home_win,433,1,433.0,win
3857292,Costa Rica,374,7,1.0347440669999999,125,4,48,38,13,15,37,0,1397,0,1,home,2022-12-01,International - FIFA World Cup,2022,Costa Rica,Germany,2,4,away_win,343,2,343.0,loss
